,Version,Date,Packages,Source
1,1.3,6/21/2001,110,John Fox 
2,1.4,12/17/2001,129,John Fox 
3,1.5,5/29/2002,162,John Fox 
4,1.6,10/1/2002,163,"John Fox, updated"
5,1.7,5/27/2003,219,John Fox 
6,1.8,11/16/2003,273,John Fox 
7,1.9,6/5/2004,357,John Fox 
8,2,10/12/2004,406,John Fox 
9,2.1,6/18/2005,548,John Fox 
10,2.2,12/16/2005,647,John Fox 
11,2.3,5/31/2006,739,John Fox 
12,2.4,12/12/2006,911,John Fox 
13,2.5,4/12/2007,1000,John Fox 
14,2.6,11/16/2007,1300,John Fox 
15,2.7,3/18/2008,1427,John Fox 
16,2.8,10/18/2008,1614,John Fox 
17,2.9,4/17/2009,1952,John Fox 
18,2.1,10/26/2009,2088,John Fox 
19,2.11,4/22/2010,2445,John Fox 
20,2.12,10/15/2010,2837,John Fox 
21,2.13,4/13/2011,3286,John Fox 
22,2.14,6/20/2011,3618,John Fox 
23,2.14,6/12/2012,3786,Spencer Graves
24,2.15,7/7/2012,4000,John Fox 
25,2.15,11/1/2012,4082,Spencer Graves
26,2.15,12/14/2012,4210,Spencer Graves
27,2.15,10/28/2013,4960,Spencer Graves
28,2.15,11/8/2013,5000,Spencer Graves
29,3.1,4/13/2014,5428,Spencer Graves
